tier,regime,n_samples,success_rate,n_successful,mean_l2,mean_l2_successful,mean_weighted_l2,mean_orig_confidence,mean_confidence_drop,class1_fraction,score_type,percentile
structural,aggressive,206,1.0,206,2.0110003664655594,2.0110003664655594,0.31986166399761895,0.8282346242261165,0.8282332856384169,0.019417475728155338,Score 1,10
noisy,aggressive,206,1.0,206,1.1437627971172333,1.1437627971172333,0.16135086874964386,0.9459031206890217,0.942139650581965,0.34951456310679613,Score 1,10
structural,stealthy,206,1.0,206,0.8599318579852002,0.8599318579852002,0.22267476404836795,0.8282346242261165,0.753157282577041,0.019417475728155338,Score 1,10
noisy,stealthy,206,0.9223300970873787,190,1.0216665289645057,1.0175511854259591,0.2001479840645528,0.9459031206890217,0.7904421313907678,0.34951456310679613,Score 1,10
structural,aggressive,413,1.0,413,1.9871567372259735,1.9871567372259735,0.31146500450503445,0.8166457221236703,0.8166433254341906,0.06295399515738499,Score 1,20
noisy,aggressive,413,1.0,413,1.1835439803380943,1.1835439803380943,0.16916668559695905,0.944056554943251,0.9417310421379991,0.2857142857142857,Score 1,20
structural,stealthy,413,1.0,413,0.842536571528086,0.842536571528086,0.21170154408673242,0.8166457221236703,0.7445926061852838,0.06295399515738499,Score 1,20
noisy,stealthy,413,0.9539951573849879,394,0.9910817781675237,0.9879806350708613,0.2078438811337772,0.944056554943251,0.8138894283592691,0.2857142857142857,Score 1,20
structural,aggressive,620,1.0,620,1.9550586058247474,1.9550586058247474,0.295434694611341,0.8070830562422352,0.8070798448827284,0.17096774193548386,Score 1,30
noisy,aggressive,620,1.0,620,1.1950702357676721,1.1950702357676721,0.16936398082403623,0.938721169098731,0.9369184274019476,0.3435483870967742,Score 1,30
structural,stealthy,620,1.0,620,0.8370320412420458,0.8370320412420458,0.19710821028825512,0.8070830562422352,0.7419701079999457,0.17096774193548386,Score 1,30
noisy,stealthy,620,0.9661290322580646,599,0.9780311759441129,0.9747198871857734,0.1960518748649345,0.938721169098731,0.8187806316774157,0.3435483870967742,Score 1,30
structural,aggressive,1034,1.0,1034,1.7885189068213654,1.7885189068213654,0.25988822300060543,0.8170551330831111,0.8170416267293016,0.3288201160541586,Score 1,50
noisy,aggressive,1034,1.0,1034,1.2355625664011882,1.2355625664011882,0.1740458674877181,0.9171407086706254,0.915955036365769,0.41005802707930367,Score 1,50
structural,stealthy,1034,0.9990328820116054,1033,0.8340075356990272,0.8345469763468218,0.1754862105013996,0.8170551330831111,0.7513881523049651,0.3288201160541586,Score 1,50
noisy,stealthy,1034,0.9787234042553191,1012,0.9567095594376153,0.9550056889682654,0.18315757630078064,0.9171407086706254,0.8182066998398928,0.41005802707930367,Score 1,50
structural,aggressive,207,1.0,207,1.9321059224686186,1.9321059224686186,0.29829876824960666,0.7992699471648764,0.7992669704776955,0.1111111111111111,Score 2,10
noisy,aggressive,207,1.0,207,1.2963964043608034,1.2963964043608034,0.18822209486346755,0.9442206459920763,0.9407599515125522,0.2995169082125604,Score 2,10
structural,stealthy,207,1.0,207,0.867408570604048,0.867408570604048,0.21444469964910454,0.7992699471648764,0.7360900986376151,0.1111111111111111,Score 2,10
noisy,stealthy,207,0.9420289855072463,195,1.0162156656168508,1.0112206437648872,0.20723882490128845,0.9442206459920763,0.8016520950730646,0.2995169082125604,Score 2,10
structural,aggressive,414,1.0,414,1.8912566249497271,1.8912566249497271,0.28122203492004305,0.7998491198832286,0.799842232500869,0.21980676328502416,Score 2,20
noisy,aggressive,414,1.0,414,1.258071411203071,1.258071411203071,0.1816613935629484,0.9386633264557751,0.9365366655715878,0.30676328502415456,Score 2,20
structural,stealthy,414,1.0,414,0.8438401182996478,0.8438401182996478,0.19392351360476215,0.7998491198832286,0.7382878865911693,0.21980676328502416,Score 2,20
noisy,stealthy,414,0.9637681159420289,399,0.9805968640651104,0.9769511559702698,0.20147807780935825,0.9386633264557751,0.8136699792981297,0.30676328502415456,Score 2,20
structural,aggressive,621,1.0,621,1.8059415547552125,1.8059415547552125,0.2634442434385399,0.806734315055196,0.8067196435142799,0.29307568438003223,Score 2,30
noisy,aggressive,621,1.0,621,1.267105267147703,1.267105267147703,0.18082079295860204,0.9276185026107395,0.925955490381097,0.36231884057971014,Score 2,30
structural,stealthy,621,0.998389694041868,620,0.8385296063242711,0.839479153170701,0.18331175589578644,0.806734315055196,0.7424597214037948,0.29307568438003223,Score 2,30
noisy,stealthy,621,0.9694041867954911,602,0.9706027063146689,0.9670467074477791,0.1921075653669067,0.9276185026107395,0.8133639558013849,0.36231884057971014,Score 2,30
structural,aggressive,1035,1.0,1035,1.7082841726892812,1.7082841726892812,0.24671494044179004,0.823920386367374,0.8238653557143041,0.34202898550724636,Score 2,50
noisy,aggressive,1035,1.0,1035,1.3171505063340283,1.3171505063340283,0.18748697802808661,0.9103413745976876,0.9091983841933219,0.3961352657004831,Score 2,50
structural,stealthy,1035,0.9980676328502416,1033,0.8442814537580462,0.8454063201660339,0.17646901472497484,0.823920386367374,0.7568215815445458,0.34202898550724636,Score 2,50
noisy,stealthy,1035,0.9797101449275363,1014,0.9467041757083745,0.9440993147900354,0.18236072096028266,0.9103413745976876,0.8128860212447586,0.3961352657004831,Score 2,50
